movie_id,month,watch_hours,unique_viewers,completion_rate,avg_watch_time,churn_impact_score
M153,2020-02,7128627,2264060,0.4618,1.11,3.3
M155,2020-02,1142607,482115,0.4078,0.99,4.21
M157,2020-02,603964,199554,0.4292,1.05,3.25
M158,2020-02,4114442,1438383,0.4856,0.95,1.11
M162,2020-02,1729450,912842,0.4482,0.67,2.26
M164,2020-02,478083,189481,0.389,0.51,3.69
M166,2020-02,1536908,806166,0.4666,1.1,2.08
M170,2020-02,1807923,655911,0.455,0.98,4.49
M171,2020-02,218407,104808,0.4115,0.55,4.68
M173,2020-02,263589,96595,0.4297,0.54,2.93
M175,2020-02,3743690,1503926,0.4938,0.91,4.94
M176,2020-02,4902375,2236104,0.6461,1.45,2.91
M177,2020-02,494936,197700,0.5447,1.35,3.79
M178,2020-02,641666,232076,0.5306,0.86,3.45
M179,2020-02,764496,297702,0.6219,1.04,3.0
M180,2020-02,5505647,1979738,0.6386,0.92,1.52
M183,2020-02,2849770,1344235,0.655,1.15,2.52
M184,2020-02,2114726,672878,0.6125,1.13,4.98
M188,2020-02,309412,122597,0.586,1.13,3.27
M190,2020-02,122333,44215,0.533,1.08,2.8
M193,2020-02,6860740,2976012,0.673,0.82,1.48
M196,2020-02,2477141,786802,0.6049,0.86,4.12
M198,2020-02,2194910,800340,0.6644,1.13,2.15
M201,2020-02,762941,380939,0.5834,1.18,3.29
M202,2020-02,640294,337017,0.5531,0.87,2.07
M205,2020-02,536703,246222,0.5522,1.08,4.86
M208,2020-02,1743307,847318,0.5812,1.41,3.8
M214,2020-02,2636077,1296213,0.6052,1.16,1.11
M215,2020-02,7415804,2583008,0.6342,1.3,4.54
M216,2020-02,509113,237198,0.5592,1.28,1.11
M221,2020-02,4900368,1631000,0.6513,1.24,2.09
M222,2020-02,328566,104063,0.6199,1.25,3.54
M102,2020-03,1408071,555924,0.746,1.42,4.22
M104,2020-03,25826,24121,0.2867,0.66,2.38
M107,2020-03,8200476,4526538,0.7841,0.95,2.72
M108,2020-03,773153,364059,0.6364,1.23,2.58
M109,2020-03,1408999,497534,0.7455,1.3,1.96
M114,2020-03,2214296,720345,0.8024,1.74,4.24
M115,2020-03,7121614,2377933,0.7831,1.57,2.09
M117,2020-03,4090836,1983046,0.727,1.05,1.41
M120,2020-03,5329027,1902358,0.7744,1.43,2.37
M123,2020-03,1053741,360963,0.7039,1.15,4.37
M126,2020-03,1097236,584116,0.6388,0.93,4.37
M129,2020-03,5413592,1829192,0.6261,1.38,2.77
M130,2020-03,227840,123362,0.553,1.37,2.89
M134,2020-03,691505,309128,0.5562,1.35,3.08
M136,2020-03,1358302,504208,0.6299,0.93,1.45
M138,2020-03,11896949,5277402,0.6584,1.47,1.04
M139,2020-03,908173,313501,0.5888,0.78,1.63
M141,2020-03,1256081,471129,0.6715,0.86,3.58
M142,2020-03,391861,134750,0.5663,1.26,4.03
M148,2020-03,1647932,682597,0.5946,0.82,4.59
M149,2020-03,2871243,1190152,0.6397,0.92,2.39
M151,2020-03,137093,62729,0.4231,0.55,1.62
M153,2020-03,13693232,5313584,0.6481,0.93,1.07
M155,2020-03,1082983,375198,0.4109,0.78,2.55
M157,2020-03,519674,208155,0.4126,0.84,1.44
M158,2020-03,3601310,1902081,0.4758,0.7,2.94
M162,2020-03,1546577,594970,0.4548,0.96,2.02
M164,2020-03,405243,153018,0.3885,0.71,4.56
M166,2020-03,1282485,438992,0.4195,0.73,2.48
M170,2020-03,1584244,536468,0.4193,0.67,4.78
M171,2020-03,210101,108525,0.4318,0.81,2.0
M173,2020-03,235009,114612,0.433,0.88,2.43
M175,2020-03,3302499,1209113,0.4851,0.84,2.35
M176,2020-03,4086717,1277974,0.6522,1.62,2.3
M177,2020-03,436258,152013,0.5415,1.05,1.86
M178,2020-03,591607,191050,0.5377,0.92,3.91
M179,2020-03,733122,278323,0.6309,1.0,1.89
M180,2020-03,5243663,2864791,0.6561,1.26,3.23
M183,2020-03,2637345,1307817,0.6469,1.08,3.33
M184,2020-03,1910666,650881,0.6046,1.3,3.89
M188,2020-03,275732,135026,0.5863,1.4,3.38
M190,2020-03,108555,38452,0.5538,1.22,2.39
M193,2020-03,6432853,2699329,0.6834,1.4,3.41
M196,2020-03,2044273,707756,0.6091,1.16,1.6
M198,2020-03,1994191,945510,0.6375,1.13,3.38
M201,2020-03,675288,319902,0.5845,0.76,3.29
M202,2020-03,531308,225238,0.5443,0.75,1.54
M204,2020-03,12612868,5079677,0.6826,1.47,1.98
M205,2020-03,454904,157543,0.5412,1.12,2.69
M208,2020-03,1551823,689995,0.6047,1.5,3.46
M214,2020-03,2574631,1064295,0.6023,0.88,2.5
M215,2020-03,6873637,2295903,0.6306,1.52,4.48
M216,2020-03,478664,263114,0.5747,0.71,1.84
M221,2020-03,4338119,2080311,0.6562,1.41,1.57
M222,2020-03,301488,165131,0.6092,0.87,2.14
M102,2020-04,477000,473823,0.3198,0.5,4.41
M104,2020-04,49998,16610,0.619,0.93,2.52
M107,2020-04,7550003,3892867,0.7478,1.08,3.0
M108,2020-04,689807,222741,0.6311,1.03,2.57
M109,2020-04,1236506,541024,0.7376,1.82,3.01
M114,2020-04,1952968,729778,0.7999,0.99,3.22
M115,2020-04,6173921,3067952,0.8129,1.38,4.84
M117,2020-04,3588754,1341222,0.7314,1.8,4.64
M120,2020-04,4706900,1839259,0.7423,1.66,4.45
M123,2020-04,925078,331903,0.6742,1.66,1.58
M126,2020-04,961866,311893,0.6109,0.83,2.27
M129,2020-04,4781193,1696715,0.6533,1.13,2.77
M130,2020-04,203726,66756,0.5717,0.77,1.74
M134,2020-04,611828,230289,0.5483,0.82,3.75
M136,2020-04,1205075,436084,0.6388,1.36,2.5
M138,2020-04,10662318,4285456,0.6519,1.43,1.06
M139,2020-04,815579,342930,0.5971,0.77,4.71
M141,2020-04,1200727,398385,0.6445,0.98,2.62
M142,2020-04,322894,114118,0.574,1.24,3.38
M148,2020-04,1409543,465795,0.6193,1.41,1.17
M149,2020-04,2644055,1046659,0.6398,1.2,3.52
M151,2020-04,112721,51059,0.3979,0.72,2.69
M153,2020-04,5751200,3065074,0.4668,0.83,3.89
M155,2020-04,885848,306498,0.4424,0.77,2.8
M157,2020-04,441367,168047,0.4171,0.64,3.77
M158,2020-04,3277763,1124415,0.4664,0.83,2.45
M162,2020-04,1415240,605392,0.4491,0.76,2.52
M164,2020-04,369648,120126,0.4098,0.95,1.72
M166,2020-04,1196793,501292,0.4285,0.86,1.47
M170,2020-04,1316213,631582,0.4336,1.0,3.17
M171,2020-04,168421,55478,0.4039,0.7,1.32
M173,2020-04,205876,96087,0.4194,0.95,1.2
M175,2020-04,2813901,1036585,0.4393,1.01,2.19
M176,2020-04,3857891,2064540,0.6458,1.29,3.77
M177,2020-04,391332,134838,0.5239,1.26,1.37
M178,2020-04,496994,214591,0.5389,1.03,2.17
M179,2020-04,594038,214263,0.6137,1.29,3.45
M180,2020-04,4287957,1519679,0.6414,1.34,4.74
M183,2020-04,2328695,1057506,0.6704,1.67,2.42
M184,2020-04,1660858,641830,0.621,0.89,3.44
M185,2020-04,6091665,1921078,0.6501,0.88,4.39
M188,2020-04,242274,75744,0.5607,1.14,1.05
M190,2020-04,94406,43023,0.5595,0.91,1.02
M193,2020-04,5580238,2449722,0.6712,0.96,2.32
M196,2020-04,1853658,676156,0.6308,1.15,3.51
M198,2020-04,1816106,711708,0.6468,1.4,4.34
M201,2020-04,581389,206536,0.5808,1.21,4.2
M202,2020-04,505490,220253,0.5835,1.45,3.51
M204,2020-04,11372546,4375109,0.6645,1.45,3.82
M205,2020-04,409091,221816,0.5407,0.97,4.8
M208,2020-04,1345280,605097,0.5756,1.37,2.78
M214,2020-04,2062271,832995,0.615,1.32,3.09
M215,2020-04,6045855,3022001,0.6636,1.38,1.53
M216,2020-04,202667,170524,0.2568,0.54,3.38
M221,2020-04,3646377,1486117,0.6273,1.01,3.31
M222,2020-04,255175,83691,0.591,0.95,2.76
M102,2020-05,1021540,508469,0.7157,1.34,1.83
M104,2020-05,41877,18646,0.6191,0.94,1.28
M107,2020-05,6297287,2768970,0.7482,1.55,1.42
M108,2020-05,572052,238648,0.6329,1.45,3.8
M109,2020-05,1114885,498291,0.7549,1.43,4.89
M114,2020-05,1675944,683508,0.7566,1.37,2.82
M115,2020-05,5535270,1980913,0.7853,1.82,3.47
M117,2020-05,3183409,1355272,0.749,1.76,2.81
M120,2020-05,3942782,1599202,0.7436,1.63,3.42
M123,2020-05,783945,403242,0.6829,1.4,4.17
M126,2020-05,799358,338547,0.6107,1.51,2.54
M129,2020-05,3920108,1333605,0.6395,1.42,3.18
M130,2020-05,164527,60318,0.5239,0.96,3.37
M134,2020-05,513094,199095,0.5711,0.74,1.43
M136,2020-05,1085176,376812,0.6289,0.83,4.27
M138,2020-05,18073687,5253515,0.9405,1.78,2.56
M139,2020-05,724650,349408,0.5891,1.41,2.22
M140,2020-05,5576722,2315320,0.6991,0.85,4.95
M141,2020-05,980965,495792,0.6297,0.8,3.81
M142,2020-05,300145,130331,0.5931,1.25,2.58
M148,2020-05,1191992,510291,0.5941,1.08,1.75
M149,2020-05,2154058,696143,0.657,1.36,1.54
M151,2020-05,97454,53487,0.4106,1.02,1.34
M153,2020-05,4974778,2088314,0.4603,0.81,1.72
M155,2020-05,794102,308644,0.4145,0.82,3.31
M157,2020-05,405721,190349,0.4031,0.68,4.91
M158,2020-05,2739621,983058,0.4327,0.6,3.93
M162,2020-05,1274167,401042,0.4449,1.05,1.35
M164,2020-05,310110,109256,0.426,0.95,2.25
M166,2020-05,968854,424756,0.4484,0.81,3.94
M170,2020-05,1167845,371355,0.4389,1.05,4.0
M171,2020-05,155758,60157,0.3916,0.5,4.96
M173,2020-05,181093,67722,0.4028,0.93,2.11
M175,2020-05,4712984,1936333,0.6677,1.31,1.6
M176,2020-05,3183574,1086181,0.6331,1.42,4.45
M177,2020-05,329543,171801,0.5173,0.95,4.97
M178,2020-05,448332,210176,0.537,1.16,2.38
M179,2020-05,538108,188302,0.6008,0.96,3.98
M180,2020-05,3934246,1545551,0.624,0.87,4.48
M183,2020-05,1830639,590888,0.6574,1.37,1.16
M184,2020-05,1544161,573527,0.6378,1.48,2.34
M185,2020-05,5038217,2600252,0.6777,1.47,3.94
M188,2020-05,204913,98853,0.5519,1.06,3.69
M190,2020-05,86471,47596,0.5199,0.77,2.13
M193,2020-05,4591720,2504783,0.6346,1.45,4.8
M196,2020-05,1645450,589491,0.586,1.2,4.6
M198,2020-05,1519744,481841,0.6698,1.21,4.74
M200,2020-05,5266621,1703430,0.6638,1.46,2.29
M201,2020-05,494835,259947,0.5989,0.77,4.82
M202,2020-05,411087,170095,0.5546,0.79,2.97
M204,2020-05,9178285,3191125,0.6509,1.39,1.41
M205,2020-05,344630,132555,0.5275,0.74,3.56
M208,2020-05,1241901,454834,0.5783,1.13,3.06
M214,2020-05,1941349,780614,0.6068,1.35,3.16
M215,2020-05,4841593,1543965,0.6559,1.58,2.44
M216,2020-05,357950,151618,0.5616,1.06,4.84
M221,2020-05,3143418,1286443,0.6583,0.82,2.54
M222,2020-05,217536,78412,0.6148,0.81,3.53
M102,2020-06,924362,463125,0.7057,1.3,1.25
M104,2020-06,36369,16302,0.6327,1.58,1.15
M107,2020-06,5088426,1752882,0.7221,1.49,2.83
M108,2020-06,518143,171345,0.6254,0.78,1.57
M109,2020-06,954143,387909,0.7539,1.03,1.69
M110,2020-06,8019866,3595913,0.8197,1.61,4.27
M114,2020-06,1342963,538045,0.784,1.38,4.25
M115,2020-06,4852057,1764540,0.7722,1.06,4.35
M117,2020-06,2685044,935581,0.7377,1.02,2.66
M120,2020-06,3585710,1392632,0.7419,0.99,4.39
M123,2020-06,235310,242520,0.2866,0.38,3.61
M126,2020-06,704621,295722,0.6254,0.92,3.56
M129,2020-06,3402060,1431335,0.6519,0.93,3.0
M130,2020-06,52103,56047,0.2493,0.34,3.12
M134,2020-06,422212,183040,0.5631,1.24,3.64
M136,2020-06,879436,424600,0.6448,1.17,1.71
M138,2020-06,7712300,4145591,0.6672,1.09,4.22
M139,2020-06,628531,337802,0.587,1.3,2.94
M140,2020-06,4396350,1439957,0.6811,0.99,3.71
M141,2020-06,830262,287231,0.6263,1.46,2.5
M142,2020-06,241771,98305,0.5692,1.37,2.82
M148,2020-06,1023358,514000,0.606,0.89,1.51
M149,2020-06,1891414,1004195,0.6168,0.88,2.37
M151,2020-06,89832,33961,0.4105,0.58,4.88
M153,2020-06,4327348,2252578,0.4768,0.94,4.35
M155,2020-06,662380,234717,0.4253,0.83,4.57
M157,2020-06,774416,287983,0.5645,1.02,4.07
M158,2020-06,2218199,872080,0.4475,0.8,1.96
M162,2020-06,1044565,574760,0.4391,0.7,3.59
M164,2020-06,254825,103097,0.3897,0.85,1.1
M166,2020-06,859293,298306,0.4497,0.76,2.86
M170,2020-06,1016245,338236,0.399,0.5,2.7
M171,2020-06,127170,40700,0.4121,0.54,4.52
M173,2020-06,153393,81733,0.4323,0.58,2.46
M175,2020-06,2166125,936986,0.4393,0.93,1.82
M176,2020-06,2853914,1337300,0.6207,1.21,4.84
M177,2020-06,277421,97579,0.5163,1.08,2.11
M178,2020-06,357243,156457,0.5343,1.13,3.71
M179,2020-06,454185,205590,0.621,1.4,4.76
M180,2020-06,3140850,1030237,0.6229,0.98,4.83
M183,2020-06,1576387,721023,0.6649,1.25,3.51
M184,2020-06,1241542,393216,0.6121,1.09,3.58
M185,2020-06,4306855,2281016,0.6836,1.39,2.65
M188,2020-06,170693,63115,0.5463,1.25,2.78
M190,2020-06,70151,35345,0.5495,1.01,4.88
M193,2020-06,4137394,2216960,0.6427,1.54,3.85
M196,2020-06,1356711,429001,0.617,0.86,1.95
M198,2020-06,1231663,549046,0.6263,1.21,1.14
M200,2020-06,4355546,1909166,0.6636,1.06,4.68
M201,2020-06,432074,172886,0.5623,0.68,3.95
M202,2020-06,374859,165588,0.5603,1.36,4.92
M204,2020-06,8159005,4067469,0.6633,1.39,3.93
M205,2020-06,318041,159403,0.5375,1.23,2.78
M208,2020-06,977689,520865,0.5921,1.43,2.11
M214,2020-06,1516769,593931,0.6023,1.12,1.78
M215,2020-06,4258742,1608827,0.6572,0.92,4.42
M216,2020-06,296340,127624,0.5392,1.26,1.35
M221,2020-06,2852897,1177954,0.6646,1.49,4.88
M222,2020-06,189755,62112,0.572,0.84,2.9
M102,2020-07,796734,250443,0.6933,0.91,2.64
M104,2020-07,32064,13470,0.6278,0.87,1.74
M107,2020-07,4472838,1736745,0.7161,1.14,3.24
M108,2020-07,432302,235256,0.6121,1.4,2.89
M109,2020-07,812397,266380,0.7229,1.1,1.48
M110,2020-07,6982875,2187572,0.7773,1.5,4.47
M114,2020-07,1202480,487533,0.7727,1.51,4.38
M115,2020-07,3823033,2031459,0.766,1.08,2.09
M117,2020-07,2207031,717279,0.7198,1.74,3.06
M120,2020-07,3073051,1494277,0.7187,1.68,4.31
M123,2020-07,600576,270346,0.6643,1.3,4.29
M126,2020-07,551781,218489,0.5987,1.43,1.41
M129,2020-07,2795218,1325024,0.6094,1.39,3.1
M130,2020-07,122920,47799,0.5478,0.71,4.28
M134,2020-07,388964,157390,0.5356,1.26,3.39
M136,2020-07,784287,344157,0.6355,0.95,4.43
M138,2020-07,6241782,2948124,0.6363,1.33,4.14
M139,2020-07,501300,173786,0.5829,1.3,3.05
M140,2020-07,3722227,1892826,0.6527,1.42,4.13
M141,2020-07,747616,358128,0.6501,0.86,4.38
M142,2020-07,220379,70446,0.5574,1.2,1.97
M148,2020-07,1761643,803763,0.8315,1.3,4.61
M149,2020-07,1587074,501760,0.6099,1.29,2.47
M151,2020-07,74400,30800,0.4154,0.7,1.86
M153,2020-07,3471519,1773007,0.4797,0.66,4.05
M155,2020-07,587328,227647,0.387,0.61,3.4
M157,2020-07,280076,88445,0.3932,0.91,1.76
M158,2020-07,1895446,636593,0.4438,1.11,2.97
M162,2020-07,851204,352716,0.4319,0.74,3.36
M164,2020-07,217205,70170,0.4199,0.69,3.38
M166,2020-07,769136,390054,0.4444,0.95,3.33
M170,2020-07,835946,287732,0.4242,0.84,2.62
M171,2020-07,110542,50465,0.4199,0.78,3.51
M173,2020-07,123292,63570,0.3841,0.95,2.53
M175,2020-07,1854766,921013,0.4581,1.0,4.07
M176,2020-07,2388231,1146697,0.6431,1.06,4.44
M177,2020-07,244001,77865,0.5016,0.85,2.26
M178,2020-07,313632,128352,0.5066,0.81,3.82
M179,2020-07,385194,193731,0.6208,1.29,3.64
M180,2020-07,2838912,1091429,0.6188,1.06,2.98
M183,2020-07,1456586,546824,0.6426,0.79,1.18
M184,2020-07,1112947,486337,0.6171,1.01,1.39
M185,2020-07,3686152,1602457,0.6526,1.33,3.37
M188,2020-07,153311,81044,0.5402,0.88,2.84
M190,2020-07,62971,24263,0.5501,1.08,4.94
M193,2020-07,3394532,1446684,0.6486,1.35,2.34
M196,2020-07,1179593,410884,0.587,1.04,2.99
M197,2020-07,5248374,1808530,0.692,0.87,4.98
M198,2020-07,1086381,513354,0.6521,0.86,2.35
M200,2020-07,3618755,1238595,0.6638,1.36,2.21
M201,2020-07,382014,158770,0.577,1.16,2.81
M202,2020-07,313002,152472,0.5209,1.02,1.85
M204,2020-07,7202104,2536763,0.6534,1.31,4.08
M205,2020-07,259206,99980,0.5363,0.75,1.6
M206,2020-07,10052736,4527472,0.6718,0.86,1.81
M208,2020-07,858838,290816,0.5873,1.01,1.45
M214,2020-07,1313266,612581,0.6164,1.09,3.59
M215,2020-07,3527410,1743565,0.6118,1.26,1.7
M216,2020-07,264067,83849,0.5443,0.71,3.41
M221,2020-07,2460626,803914,0.6304,0.83,4.77
M222,2020-07,166222,83244,0.5656,1.06,4.32
M102,2020-08,690265,222366,0.6966,0.95,4.23
M104,2020-08,26093,9966,0.6135,1.07,1.58
M107,2020-08,3769505,1193677,0.73,1.34,2.5
M108,2020-08,388962,173404,0.6272,1.47,4.75
M109,2020-08,679486,242505,0.7371,1.47,4.37
M110,2020-08,6229283,1998366,0.8025,1.54,2.24
M114,2020-08,1066125,461926,0.7726,1.79,2.55
M115,2020-08,3528910,1501557,0.7929,1.8,1.94
M117,2020-08,1859665,610457,0.7418,1.63,2.63
M120,2020-08,2462624,817326,0.7492,1.3,4.36
M123,2020-08,517983,171094,0.665,1.24,2.41
M126,2020-08,502378,170946,0.6119,0.78,3.57
M129,2020-08,2516088,865400,0.6018,0.97,1.33
M130,2020-08,101939,40405,0.5535,1.27,3.74
M134,2020-08,330454,147054,0.5389,1.13,4.31
M136,2020-08,676635,325598,0.6157,1.5,4.54
M138,2020-08,5410565,1730078,0.6712,1.6,4.9
M139,2020-08,436207,156809,0.5484,0.84,1.36
M140,2020-08,3298829,1055240,0.6409,1.54,2.81
M141,2020-08,628340,319616,0.6357,1.41,2.15
M142,2020-08,181744,91684,0.5778,0.91,3.71
M148,2020-08,751466,316815,0.5673,1.14,4.63
M149,2020-08,2623222,875027,0.8721,1.83,3.75
M151,2020-08,64723,23182,0.4008,0.51,2.33
M153,2020-08,2987173,972539,0.4768,0.94,3.99
M155,2020-08,473923,219905,0.4125,0.69,4.87
M157,2020-08,246610,94389,0.3805,0.89,1.53
M158,2020-08,1669925,656780,0.4236,0.58,4.49
M159,2020-08,3811807,1338907,0.5013,1.0,4.05
M162,2020-08,743409,332143,0.4401,0.97,1.61
M164,2020-08,200659,73761,0.4074,0.61,1.14
M166,2020-08,617402,221422,0.4208,0.53,2.43
M170,2020-08,749314,302230,0.4131,0.56,1.37
M171,2020-08,98530,47995,0.3864,0.91,3.34
M173,2020-08,110711,35032,0.4043,0.53,4.07
M175,2020-08,1594510,524110,0.4248,0.73,3.36
M176,2020-08,2083718,701171,0.6127,1.26,2.82
M177,2020-08,217937,82806,0.4953,1.21,2.3
M178,2020-08,278914,98624,0.5479,0.69,3.57
M179,2020-08,325902,173559,0.5835,1.0,1.71
M180,2020-08,2504980,831743,0.5945,1.32,2.14
M183,2020-08,1227547,452020,0.626,1.41,2.24
M184,2020-08,943567,475635,0.6083,1.12,4.54
M185,2020-08,3209830,1240140,0.6512,1.3,2.74
M188,2020-08,125975,67852,0.5371,1.12,1.62
M190,2020-08,52313,19509,0.5262,1.25,2.91
M193,2020-08,2854402,1442414,0.6601,1.05,1.19
M196,2020-08,973131,522308,0.5704,1.17,3.27
M197,2020-08,4265798,1977832,0.6491,1.34,1.72
M198,2020-08,914403,389084,0.6142,1.21,2.82
M200,2020-08,3298025,1233674,0.6483,0.94,1.74
M201,2020-08,326746,123501,0.5886,0.71,1.47
M202,2020-08,254344,103058,0.5496,1.09,2.95
M204,2020-08,5998735,1896239,0.643,1.1,2.21
M205,2020-08,216289,118877,0.5056,1.17,1.84
M206,2020-08,8614345,3179152,0.6668,0.97,2.2
M208,2020-08,742103,301228,0.5511,1.16,4.86
M214,2020-08,1160211,386258,0.5993,1.37,1.2
M215,2020-08,3024303,1127388,0.6357,1.37,3.38
M216,2020-08,220823,100051,0.5394,1.08,3.71
M221,2020-08,2105984,848139,0.6407,1.03,1.25
M222,2020-08,145176,60896,0.5787,0.96,3.79
M102,2020-09,553823,251370,0.6876,1.02,4.64
M104,2020-09,22898,8663,0.6301,1.0,3.85
M107,2020-09,3559594,1200006,0.7357,1.65,4.38
M108,2020-09,330825,150687,0.6375,0.93,3.42
M109,2020-09,580643,243724,0.7397,0.93,1.07
M110,2020-09,5573265,2423304,0.7699,0.96,1.25
M114,2020-09,889656,333881,0.732,1.2,2.42
M115,2020-09,2849056,940655,0.7514,1.41,3.68
M117,2020-09,1709585,551962,0.7119,0.96,1.42
M120,2020-09,2283086,788625,0.7494,1.0,3.52
M123,2020-09,460622,149777,0.6259,1.16,3.93
M126,2020-09,419550,155048,0.5867,1.04,2.66
M129,2020-09,2234690,1042570,0.6305,0.83,2.49
M130,2020-09,94623,41052,0.5332,0.93,1.91
M132,2020-09,834760,350920,0.6705,1.5,2.45
M134,2020-09,269233,134360,0.5105,0.67,2.26
M136,2020-09,603230,297149,0.5931,1.21,4.61
M138,2020-09,4666153,1738344,0.6557,1.04,2.61
M139,2020-09,400523,155539,0.5502,0.67,2.12
M140,2020-09,2936701,950809,0.665,1.27,4.15
M141,2020-09,549757,198006,0.6394,0.93,2.21
M142,2020-09,152394,67184,0.5663,1.41,2.14
M148,2020-09,638231,248097,0.5811,0.72,4.19
M149,2020-09,1202706,562570,0.6337,0.85,1.24
M151,2020-09,54940,20516,0.3782,0.52,2.19
M153,2020-09,2747330,1128542,0.4726,0.91,4.58
M155,2020-09,439574,172611,0.4078,0.91,3.86
M157,2020-09,218515,78038,0.39,0.76,4.29
M158,2020-09,1470271,758973,0.4486,0.57,4.55
M159,2020-09,3231247,1332676,0.47,0.88,2.58
M162,2020-09,651747,260870,0.4132,0.76,4.89
M164,2020-09,175445,87631,0.3704,0.78,4.45
M166,2020-09,533780,254459,0.4192,0.7,4.81
M170,2020-09,650339,274165,0.391,0.55,2.49
M171,2020-09,87358,39269,0.3988,0.78,1.19
M173,2020-09,99910,32814,0.3853,0.52,2.39
M175,2020-09,1423255,596851,0.4487,0.99,2.9
M176,2020-09,1788245,675320,0.6381,1.14,2.8
M177,2020-09,189517,84031,0.53,0.8,2.58
M178,2020-09,240184,76459,0.5395,1.25,3.83
M179,2020-09,292607,100392,0.6104,1.18,1.77
M180,2020-09,2126765,815603,0.5876,1.07,4.59
M183,2020-09,1012916,325627,0.624,0.95,3.82
M184,2020-09,842924,348039,0.6103,0.77,4.45
M185,2020-09,2692352,1116313,0.6457,0.99,1.46
M188,2020-09,106982,52560,0.5222,0.83,2.63
M190,2020-09,44438,16704,0.5113,0.87,2.28
M193,2020-09,2567625,1139189,0.6288,0.92,4.01
M196,2020-09,896288,359930,0.5976,0.76,2.86
M197,2020-09,3795914,1531944,0.6604,1.02,4.85
M198,2020-09,840469,391855,0.6327,1.09,1.34
M200,2020-09,2882063,1382390,0.6784,1.5,3.15
M201,2020-09,579541,176022,0.7876,1.24,4.89
M202,2020-09,219233,70563,0.5341,0.9,2.41
M204,2020-09,5265921,2010489,0.6455,1.25,2.2
M205,2020-09,194683,98715,0.502,0.88,3.44
M206,2020-09,7771259,3460621,0.6741,1.47,2.81
M208,2020-09,637083,200578,0.5621,0.69,3.77
M214,2020-09,1034159,573619,0.5888,1.02,4.58
M215,2020-09,2835669,988916,0.6219,0.81,1.12
M216,2020-09,198692,72508,0.5436,1.24,2.43
M220,2020-09,12845869,4244605,0.95,1.69,1.89
M221,2020-09,1710304,779683,0.6461,1.29,2.21
M222,2020-09,125231,58850,0.5747,1.37,3.83
M102,2020-10,506256,244035,0.7131,1.38,2.98
M104,2020-10,20967,7697,0.6103,0.78,1.51
M107,2020-10,2933111,1355741,0.7245,1.61,1.77
M108,2020-10,298402,93580,0.6286,1.21,2.82
M109,2020-10,564154,209150,0.7312,1.29,4.98
M110,2020-10,4721725,1715591,0.7793,1.83,1.9
M114,2020-10,1555696,568010,0.95,1.85,1.1
M115,2020-10,2732087,862038,0.7532,1.06,2.24
M117,2020-10,1522409,786605,0.708,1.43,2.34
M120,2020-10,1978972,1014349,0.7079,1.16,4.18
M123,2020-10,416058,144161,0.643,1.26,1.34
M126,2020-10,375003,203068,0.5807,0.79,4.68
M129,2020-10,1944177,874943,0.6163,1.19,2.18
M130,2020-10,81953,42371,0.5326,1.1,1.04
M132,2020-10,720018,247154,0.689,1.67,4.13
M134,2020-10,251789,111437,0.5146,0.66,4.16
M136,2020-10,502397,193044,0.6169,1.32,2.78
M138,2020-10,4263871,1462315,0.618,1.51,4.02
M139,2020-10,346932,114148,0.5688,0.94,2.48
M140,2020-10,2504888,955693,0.6589,1.51,4.43
M141,2020-10,482621,232748,0.6,0.99,3.67
M142,2020-10,145698,45893,0.555,1.36,3.46
M148,2020-10,591144,291607,0.5727,0.85,1.01
M149,2020-10,1041490,490717,0.6212,1.51,2.33
M151,2020-10,51040,24450,0.3662,0.47,1.12
M153,2020-10,2322323,1052345,0.4297,0.54,1.12
M155,2020-10,378454,185171,0.4188,0.8,1.71
M157,2020-10,184105,61779,0.406,0.69,4.15
M158,2020-10,1287337,413860,0.4248,0.87,4.76
M159,2020-10,3037854,950287,0.4921,0.68,4.7
M162,2020-10,615048,297361,0.4074,1.01,1.98
M164,2020-10,146109,54877,0.37,0.6,1.21
M166,2020-10,511008,169096,0.4346,0.64,1.33
M170,2020-10,576312,211188,0.3847,0.78,3.04
M171,2020-10,74870,30559,0.3871,0.82,2.98
M173,2020-10,84494,35782,0.4171,0.62,1.81
M175,2020-10,1276167,542067,0.4318,1.04,2.5
M176,2020-10,1579141,794311,0.5992,1.17,2.86
M177,2020-10,166207,69352,0.5084,0.82,2.53
M178,2020-10,208116,97830,0.5223,1.2,3.05
M179,2020-10,264322,91138,0.6163,0.77,1.8
M180,2020-10,1832400,810460,0.5951,0.93,3.82
M183,2020-10,987664,308860,0.6476,0.78,2.2
M184,2020-10,751777,259557,0.5852,1.2,2.89
M185,2020-10,2533668,884159,0.6275,1.36,2.9
M188,2020-10,99949,34460,0.5479,1.22,2.25
M190,2020-10,39945,13878,0.5249,1.01,2.5
M191,2020-10,22990949,10183427,0.95,1.56,2.68
M193,2020-10,2364196,999780,0.6439,0.79,4.14
M196,2020-10,829731,411742,0.6026,1.2,3.43
M197,2020-10,3556395,1121098,0.6452,0.93,1.43
M198,2020-10,746655,306993,0.6447,1.24,1.13
M200,2020-10,2598881,1046223,0.6343,1.0,1.93
M201,2020-10,254935,134319,0.5379,1.25,2.64
M202,2020-10,199785,102189,0.5318,1.3,4.46
M204,2020-10,4501657,2156019,0.6366,1.26,4.76
M205,2020-10,58449,71065,0.2359,0.3,2.6
