region,movie_id,month,engagement_score,viewer_growth
South,M188,2020-01,8.15,0.1092
East,M188,2020-01,6.44,0.1105
West,M188,2020-01,7.86,0.1235
North,M190,2020-01,6.07,0.0945
South,M190,2020-01,7.41,0.1079
East,M190,2020-01,5.38,0.1758
West,M190,2020-01,7.07,0.2482
North,M193,2020-01,6.96,0.1225
South,M193,2020-01,7.85,0.0766
East,M193,2020-01,7.74,0.2106
West,M193,2020-01,7.52,0.1727
North,M196,2020-01,6.3,0.1854
South,M196,2020-01,7.64,0.0922
East,M196,2020-01,6.47,0.083
West,M196,2020-01,7.79,0.1663
North,M198,2020-01,7.17,0.2096
South,M198,2020-01,9.08,0.1955
East,M198,2020-01,,0.1372
West,M198,2020-01,9.28,0.1548
North,M201,2020-01,6.1,0.1307
South,M201,2020-01,5.74,0.1488
East,M201,2020-01,5.76,0.2158
West,M201,2020-01,5.98,0.0993
North,M202,2020-01,6.11,0.1731
South,M202,2020-01,,0.1555
East,M202,2020-01,5.36,0.1439
West,M202,2020-01,5.33,0.1205
North,M205,2020-01,6.14,0.1854
South,M205,2020-01,5.21,0.2472
East,M205,2020-01,5.08,0.173
West,M205,2020-01,6.46,0.0902
North,M208,2020-01,6.16,0.1988
South,M208,2020-01,5.87,0.1825
East,M208,2020-01,5.77,0.0616
West,M208,2020-01,6.02,0.0799
North,M214,2020-01,7.06,0.0793
South,M214,2020-01,6.97,0.0908
East,M214,2020-01,6.69,0.1986
West,M214,2020-01,5.69,0.1814
North,M215,2020-01,6.37,0.2154
South,M215,2020-01,5.78,0.107
East,M215,2020-01,6.45,0.0928
West,M215,2020-01,7.4,0.1283
North,M216,2020-01,6.33,0.0567
South,M216,2020-01,4.76,0.1362
East,M216,2020-01,6.18,0.1996
West,M216,2020-01,5.16,0.0809
North,M221,2020-01,6.31,0.1395
South,M221,2020-01,7.22,0.1756
East,M221,2020-01,6.08,0.1215
West,M221,2020-01,6.41,0.0683
North,M222,2020-01,6.97,0.2074
South,M222,2020-01,6.22,0.0896
East,M222,2020-01,5.18,0.2331
West,M222,2020-01,6.53,0.1231
North,M102,2020-02,8.24,0.1071
South,M102,2020-02,7.84,0.1932
East,M102,2020-02,7.18,0.2171
West,M102,2020-02,6.85,0.0927
North,M104,2020-02,7.52,0.1381
South,M104,2020-02,6.7,0.2042
East,M104,2020-02,7.38,0.0762
West,M104,2020-02,7.49,0.1164
North,M107,2020-02,7.48,0.0676
South,M107,2020-02,6.99,0.2288
East,M107,2020-02,8.09,0.1687
West,M107,2020-02,8.46,0.0973
North,M108,2020-02,6.74,0.1028
South,M108,2020-02,5.94,0.1516
East,M108,2020-02,7.09,0.129
West,M108,2020-02,7.34,0.0979
North,M109,2020-02,7.36,0.1683
South,M109,2020-02,7.69,0.2104
East,M109,2020-02,8.24,0.2361
West,M109,2020-02,6.94,0.1217
North,M114,2020-02,8.15,0.0854
South,M114,2020-02,7.32,0.1872
East,M114,2020-02,7.87,0.1509
West,M114,2020-02,7.22,0.059
North,M115,2020-02,7.73,0.1744
South,M115,2020-02,,0.1099
East,M115,2020-02,8.67,0.1305
West,M115,2020-02,7.95,0.1969
North,M117,2020-02,7.87,0.2263
South,M117,2020-02,7.55,0.0732
East,M117,2020-02,7.38,0.0975
West,M117,2020-02,7.85,0.1898
North,M120,2020-02,8.54,0.1318
South,M120,2020-02,7.59,0.064
East,M120,2020-02,7.71,0.0585
West,M120,2020-02,8.24,0.1542
North,M123,2020-02,8.77,0.0762
South,M123,2020-02,9.41,0.1823
East,M123,2020-02,8.33,0.1531
West,M123,2020-02,,0.2225
North,M126,2020-02,7.36,0.2209
South,M126,2020-02,5.56,0.0712
East,M126,2020-02,8.78,0.0869
West,M126,2020-02,5.77,0.1431
North,M129,2020-02,9.32,0.125
South,M129,2020-02,5.57,0.1808
East,M129,2020-02,7.58,0.1636
West,M129,2020-02,6.61,0.1302
North,M130,2020-02,7.75,0.2254
South,M130,2020-02,5.19,0.1844
East,M130,2020-02,7.66,0.2167
West,M130,2020-02,5.67,0.0663
North,M134,2020-02,7.41,0.0654
South,M134,2020-02,,0.1122
East,M134,2020-02,8.44,0.0908
West,M134,2020-02,5.13,0.2417
North,M136,2020-02,8.7,0.2063
South,M136,2020-02,7.47,0.1481
East,M136,2020-02,9.41,0.1345
West,M136,2020-02,5.91,0.0915
North,M139,2020-02,6.97,0.1059
South,M139,2020-02,5.62,0.0584
East,M139,2020-02,8.44,0.2117
West,M139,2020-02,5.0,0.2484
North,M141,2020-02,8.02,0.0646
South,M141,2020-02,7.46,0.1544
East,M141,2020-02,8.29,0.1398
West,M141,2020-02,6.69,0.0712
North,M142,2020-02,8.01,0.2463
South,M142,2020-02,6.68,0.1981
East,M142,2020-02,8.07,0.2334
West,M142,2020-02,6.86,0.216
North,M148,2020-02,8.89,0.1481
South,M148,2020-02,5.34,0.1609
East,M148,2020-02,7.1,0.1584
West,M148,2020-02,6.96,0.0764
North,M149,2020-02,9.17,0.096
South,M149,2020-02,7.16,0.2352
East,M149,2020-02,8.23,0.1214
West,M149,2020-02,7.55,0.1491
North,M151,2020-02,4.33,0.1358
South,M151,2020-02,4.93,0.1069
East,M151,2020-02,4.21,0.161
West,M151,2020-02,4.26,0.2493
North,M153,2020-02,5.25,0.2263
South,M153,2020-02,7.1,0.1641
East,M153,2020-02,4.43,0.2434
West,M153,2020-02,4.34,0.0678
North,M155,2020-02,3.36,0.0934
South,M155,2020-02,5.76,0.131
East,M155,2020-02,3.63,0.1878
West,M155,2020-02,4.19,0.101
North,M157,2020-02,4.88,0.0585
South,M157,2020-02,6.31,0.1722
East,M157,2020-02,5.11,0.2109
West,M157,2020-02,4.4,0.135
North,M158,2020-02,4.51,0.2251
South,M158,2020-02,6.1,0.1681
East,M158,2020-02,5.48,0.2157
West,M158,2020-02,5.68,0.2155
North,M162,2020-02,4.87,0.1181
South,M162,2020-02,6.36,0.1869
East,M162,2020-02,4.76,0.1197
West,M162,2020-02,4.79,0.0783
North,M164,2020-02,4.86,0.0786
South,M164,2020-02,5.88,0.1741
East,M164,2020-02,3.8,0.1801
West,M164,2020-02,4.71,0.2196
North,M166,2020-02,5.01,0.1075
South,M166,2020-02,6.58,0.0671
East,M166,2020-02,4.87,0.059
West,M166,2020-02,4.45,0.1071
North,M170,2020-02,3.83,0.1302
South,M170,2020-02,6.54,0.1924
East,M170,2020-02,5.33,0.2313
West,M170,2020-02,3.82,0.1873
North,M171,2020-02,3.37,0.2415
South,M171,2020-02,5.14,0.1274
East,M171,2020-02,4.65,0.1371
West,M171,2020-02,4.65,0.1544
North,M173,2020-02,3.84,0.2252
South,M173,2020-02,6.42,0.2072
East,M173,2020-02,4.12,0.075
West,M173,2020-02,4.04,0.1495
North,M175,2020-02,4.92,0.059
South,M175,2020-02,6.29,0.237
East,M175,2020-02,5.84,0.1934
West,M175,2020-02,4.23,0.0859
North,M176,2020-02,5.87,0.2156
South,M176,2020-02,7.86,0.1542
East,M176,2020-02,6.95,0.1739
West,M176,2020-02,8.28,0.1405
North,M177,2020-02,4.66,0.0613
South,M177,2020-02,,0.122
East,M177,2020-02,5.91,0.0898
West,M177,2020-02,5.98,0.153
North,M178,2020-02,5.05,0.1159
South,M178,2020-02,7.55,0.1076
East,M178,2020-02,4.6,0.1951
West,M178,2020-02,,0.067
North,M179,2020-02,5.51,0.1042
South,M179,2020-02,7.29,0.1951
East,M179,2020-02,6.8,0.1897
West,M179,2020-02,8.37,0.0562
North,M180,2020-02,7.19,0.1471
South,M180,2020-02,7.43,0.2101
East,M180,2020-02,5.78,0.1431
West,M180,2020-02,8.65,0.1588
North,M183,2020-02,6.93,0.2013
South,M183,2020-02,7.38,0.2361
East,M183,2020-02,5.84,0.1484
West,M183,2020-02,9.07,0.2302
North,M184,2020-02,6.16,0.1806
South,M184,2020-02,8.58,0.1634
East,M184,2020-02,5.43,0.2447
West,M184,2020-02,7.34,0.2045
North,M188,2020-02,6.37,0.0934
South,M188,2020-02,6.99,0.1403
East,M188,2020-02,5.42,0.1194
West,M188,2020-02,6.58,0.1905
North,M190,2020-02,5.33,0.0787
South,M190,2020-02,7.16,0.2148
East,M190,2020-02,4.63,0.1996
West,M190,2020-02,5.92,0.1154
North,M193,2020-02,5.87,0.1553
South,M193,2020-02,8.53,0.055
East,M193,2020-02,5.82,0.1173
West,M193,2020-02,7.87,0.0873
North,M196,2020-02,6.97,0.2474
South,M196,2020-02,7.44,0.1259
East,M196,2020-02,5.81,0.0757
West,M196,2020-02,7.65,0.1142
North,M198,2020-02,7.04,0.0658
South,M198,2020-02,8.64,0.1445
East,M198,2020-02,6.06,0.2143
West,M198,2020-02,8.74,0.122
North,M201,2020-02,5.21,0.2
South,M201,2020-02,5.11,0.1813
East,M201,2020-02,4.9,0.1924
West,M201,2020-02,6.72,0.2409
North,M202,2020-02,4.97,0.0744
South,M202,2020-02,6.14,0.2344
East,M202,2020-02,5.24,0.2235
West,M202,2020-02,5.29,0.1916
North,M205,2020-02,5.15,0.0927
South,M205,2020-02,5.71,0.1458
East,M205,2020-02,6.14,0.1225
West,M205,2020-02,4.98,0.1053
North,M208,2020-02,5.97,0.1744
South,M208,2020-02,6.5,0.0684
East,M208,2020-02,6.31,0.2084
West,M208,2020-02,5.42,0.17
North,M214,2020-02,6.04,0.1585
South,M214,2020-02,5.76,0.1327
East,M214,2020-02,5.19,0.1513
West,M214,2020-02,6.73,0.1307
North,M215,2020-02,7.24,0.2118
South,M215,2020-02,5.6,0.1682
East,M215,2020-02,6.34,0.1413
West,M215,2020-02,7.3,0.0755
North,M216,2020-02,6.4,0.059
South,M216,2020-02,6.43,0.082
East,M216,2020-02,4.96,0.1143
West,M216,2020-02,5.71,0.1378
North,M221,2020-02,6.09,0.0735
South,M221,2020-02,6.14,0.1976
East,M221,2020-02,7.32,0.1293
West,M221,2020-02,6.44,0.1946
North,M222,2020-02,,0.0536
South,M222,2020-02,6.0,0.2496
East,M222,2020-02,6.72,0.0507
West,M222,2020-02,7.13,0.1934
North,M102,2020-03,6.78,0.2205
South,M102,2020-03,6.7,0.2075
East,M102,2020-03,7.75,0.1662
West,M102,2020-03,8.32,0.1507
North,M104,2020-03,3.6,0.1462
South,M104,2020-03,3.45,0.0767
East,M104,2020-03,2.39,0.1697
West,M104,2020-03,,0.1099
North,M107,2020-03,8.4,0.2497
South,M107,2020-03,7.7,0.2021
East,M107,2020-03,8.64,0.2433
West,M107,2020-03,6.91,0.1205
North,M108,2020-03,5.83,0.1005
South,M108,2020-03,7.19,0.118
East,M108,2020-03,6.99,0.2257
West,M108,2020-03,6.49,0.1542
North,M109,2020-03,7.07,0.1366
South,M109,2020-03,6.65,0.0863
East,M109,2020-03,6.51,0.097
West,M109,2020-03,7.57,0.2014
North,M114,2020-03,7.06,0.1952
South,M114,2020-03,7.48,0.1752
East,M114,2020-03,8.08,0.1322
West,M114,2020-03,7.7,0.1223
North,M115,2020-03,8.8,0.1751
South,M115,2020-03,7.58,0.0834
East,M115,2020-03,8.08,0.2009
West,M115,2020-03,8.67,0.2206
North,M117,2020-03,6.66,0.1173
South,M117,2020-03,7.26,0.1422
East,M117,2020-03,7.31,0.1232
West,M117,2020-03,6.69,0.135
North,M120,2020-03,7.16,0.0679
South,M120,2020-03,7.26,0.167
East,M120,2020-03,7.18,0.1611
West,M120,2020-03,8.66,0.2099
North,M123,2020-03,6.4,0.221
South,M123,2020-03,6.42,0.0526
East,M123,2020-03,7.66,0.073
West,M123,2020-03,7.77,0.065
North,M126,2020-03,7.75,0.1116
South,M126,2020-03,7.32,0.0867
East,M126,2020-03,7.7,0.1499
West,M126,2020-03,5.7,0.2486
North,M129,2020-03,8.35,0.2228
South,M129,2020-03,6.31,0.21
East,M129,2020-03,7.91,0.2147
West,M129,2020-03,6.91,0.0537
North,M130,2020-03,7.87,0.1817
South,M130,2020-03,5.67,0.2462
East,M130,2020-03,7.15,0.2344
West,M130,2020-03,5.29,0.1645
North,M134,2020-03,7.15,0.1404
South,M134,2020-03,6.52,0.1289
East,M134,2020-03,6.32,0.0887
West,M134,2020-03,4.92,0.1849
North,M136,2020-03,7.3,0.1274
South,M136,2020-03,6.43,0.2292
East,M136,2020-03,9.01,0.1438
West,M136,2020-03,6.63,0.1228
North,M138,2020-03,9.39,0.0891
South,M138,2020-03,7.12,0.0514
East,M138,2020-03,7.79,0.1856
West,M138,2020-03,5.78,0.1852
North,M139,2020-03,7.07,0.196
South,M139,2020-03,,0.2433
East,M139,2020-03,7.5,0.1517
West,M139,2020-03,6.26,0.1873
North,M141,2020-03,8.57,0.2356
South,M141,2020-03,6.76,0.1449
East,M141,2020-03,9.61,0.2473
West,M141,2020-03,6.67,0.2341
North,M142,2020-03,7.54,0.2398
South,M142,2020-03,6.49,0.1321
East,M142,2020-03,6.9,0.0836
West,M142,2020-03,5.06,0.2179
North,M148,2020-03,8.05,0.203
South,M148,2020-03,5.65,0.2244
East,M148,2020-03,7.26,0.1389
West,M148,2020-03,6.43,0.1019
North,M149,2020-03,8.48,0.1385
South,M149,2020-03,5.55,0.1757
East,M149,2020-03,8.79,0.1387
West,M149,2020-03,5.9,0.0572
North,M151,2020-03,4.51,0.2049
South,M151,2020-03,5.62,0.1701
East,M151,2020-03,3.24,0.1858
West,M151,2020-03,4.73,0.113
North,M153,2020-03,5.93,0.1166
South,M153,2020-03,8.45,0.2129
East,M153,2020-03,6.04,0.0565
West,M153,2020-03,7.42,0.1249
North,M155,2020-03,4.17,0.1567
South,M155,2020-03,6.81,0.0873
East,M155,2020-03,4.32,0.1702
West,M155,2020-03,3.71,0.0586
North,M157,2020-03,4.96,0.0558
South,M157,2020-03,5.43,0.2435
East,M157,2020-03,4.88,0.0503
West,M157,2020-03,4.89,0.2122
North,M158,2020-03,5.17,0.1128
South,M158,2020-03,5.99,0.0782
East,M158,2020-03,4.48,0.1566
West,M158,2020-03,5.02,0.0904
North,M162,2020-03,4.13,0.1062
South,M162,2020-03,6.45,0.2496
East,M162,2020-03,5.46,0.1364
West,M162,2020-03,3.62,0.2214
North,M164,2020-03,3.16,0.2144
South,M164,2020-03,5.77,0.0723
East,M164,2020-03,4.07,0.1917
West,M164,2020-03,4.4,0.2131
North,M166,2020-03,3.3,0.0858
South,M166,2020-03,6.06,0.2108
East,M166,2020-03,3.42,0.1156
West,M166,2020-03,3.98,0.1025
North,M170,2020-03,4.96,0.1768
South,M170,2020-03,5.48,0.0972
East,M170,2020-03,4.86,0.1027
West,M170,2020-03,3.62,0.2224
North,M171,2020-03,4.06,0.1446
South,M171,2020-03,6.44,0.0546
East,M171,2020-03,4.94,0.2015
West,M171,2020-03,4.6,0.0563
North,M173,2020-03,4.85,0.1307
South,M173,2020-03,6.33,0.2012
East,M173,2020-03,3.45,0.2192
West,M173,2020-03,4.73,0.074
North,M175,2020-03,4.17,0.2266
South,M175,2020-03,6.83,0.0937
East,M175,2020-03,4.07,0.1423
West,M175,2020-03,4.58,0.1542
North,M176,2020-03,6.12,0.19
South,M176,2020-03,9.08,0.0997
East,M176,2020-03,6.34,0.0518
West,M176,2020-03,8.99,0.2458
North,M177,2020-03,5.39,0.059
South,M177,2020-03,7.37,0.1782
East,M177,2020-03,4.65,0.1355
West,M177,2020-03,5.85,0.141
North,M178,2020-03,4.79,0.1791
South,M178,2020-03,6.6,0.1525
East,M178,2020-03,,0.1009
West,M178,2020-03,7.4,0.0926
North,M179,2020-03,7.17,0.1069
South,M179,2020-03,8.24,0.2255
East,M179,2020-03,6.55,0.1528
West,M179,2020-03,8.11,0.2234
North,M180,2020-03,6.67,0.099
South,M180,2020-03,8.53,0.2472
East,M180,2020-03,6.05,0.1356
West,M180,2020-03,8.69,0.1748
North,M183,2020-03,7.13,0.2488
South,M183,2020-03,8.86,0.1818
East,M183,2020-03,7.27,0.1675
West,M183,2020-03,7.13,0.2443
North,M184,2020-03,5.11,0.1243
South,M184,2020-03,6.57,0.1185
East,M184,2020-03,5.89,0.0608
West,M184,2020-03,8.04,0.2167
North,M188,2020-03,6.16,0.1714
South,M188,2020-03,7.52,0.1262
East,M188,2020-03,5.3,0.2145
West,M188,2020-03,6.66,0.2199
North,M190,2020-03,5.34,0.0506
South,M190,2020-03,6.41,0.1785
East,M190,2020-03,4.77,0.211
West,M190,2020-03,7.61,0.1865
North,M193,2020-03,6.25,0.0735
South,M193,2020-03,9.28,0.1215
East,M193,2020-03,6.02,0.1153
West,M193,2020-03,7.59,0.0657
North,M196,2020-03,6.99,0.0578
South,M196,2020-03,8.61,0.2367
East,M196,2020-03,5.34,0.1102
West,M196,2020-03,8.36,0.0565
North,M198,2020-03,5.85,0.2319
South,M198,2020-03,7.66,0.1918
East,M198,2020-03,5.81,0.1387
West,M198,2020-03,8.62,0.227
North,M201,2020-03,6.02,0.1997
South,M201,2020-03,5.39,0.1776
East,M201,2020-03,5.5,0.071
West,M201,2020-03,6.56,0.1472
North,M202,2020-03,6.16,0.153
South,M202,2020-03,4.72,0.2204
East,M202,2020-03,5.62,0.0697
West,M202,2020-03,5.13,0.123
North,M204,2020-03,6.76,0.1556
South,M204,2020-03,6.88,0.1173
East,M204,2020-03,6.5,0.0607
West,M204,2020-03,6.85,0.1956
North,M205,2020-03,6.12,0.219
South,M205,2020-03,4.94,0.1275
East,M205,2020-03,5.76,0.2149
West,M205,2020-03,5.94,0.1063
North,M208,2020-03,6.53,0.2191
South,M208,2020-03,6.52,0.0772
East,M208,2020-03,5.56,0.1081
West,M208,2020-03,5.52,0.1387
North,M214,2020-03,6.72,0.1222
South,M214,2020-03,6.59,0.21
East,M214,2020-03,6.89,0.1165
West,M214,2020-03,6.04,0.1516
North,M215,2020-03,6.73,0.1393
South,M215,2020-03,6.86,0.2035
East,M215,2020-03,6.21,0.1486
West,M215,2020-03,6.05,0.124
North,M216,2020-03,6.51,0.0934
South,M216,2020-03,5.64,0.1973
East,M216,2020-03,6.37,0.1692
West,M216,2020-03,5.98,0.0624
North,M221,2020-03,6.13,0.1228
South,M221,2020-03,7.53,0.1121
East,M221,2020-03,6.94,0.2293
West,M221,2020-03,7.41,0.0711
North,M222,2020-03,5.94,0.1627
South,M222,2020-03,6.67,0.1477
East,M222,2020-03,5.4,0.0942
West,M222,2020-03,6.9,0.2053
North,M102,2020-04,3.06,0.1968
South,M102,2020-04,2.24,0.2064
East,M102,2020-04,4.02,0.1482
West,M102,2020-04,3.56,0.0895
North,M104,2020-04,5.32,0.1236
South,M104,2020-04,5.42,0.1053
East,M104,2020-04,6.18,0.2138
West,M104,2020-04,5.3,0.1229
North,M107,2020-04,7.59,0.1206
South,M107,2020-04,7.72,0.2162
East,M107,2020-04,8.33,0.2416
West,M107,2020-04,7.33,0.244
North,M108,2020-04,5.74,0.244
South,M108,2020-04,6.63,0.2221
East,M108,2020-04,6.14,0.1621
West,M108,2020-04,6.88,0.0516
North,M109,2020-04,8.35,0.0683
South,M109,2020-04,7.38,0.0602
East,M109,2020-04,6.78,0.1241
West,M109,2020-04,7.04,0.1142
North,M114,2020-04,7.32,0.1658
South,M114,2020-04,8.17,0.1612
East,M114,2020-04,8.77,0.1732
West,M114,2020-04,8.93,0.1836
North,M115,2020-04,7.97,0.2411
South,M115,2020-04,8.9,0.1593
East,M115,2020-04,8.42,0.0676
West,M115,2020-04,7.87,0.1604
North,M117,2020-04,7.51,0.1239
South,M117,2020-04,6.72,0.1312
East,M117,2020-04,6.41,0.088
West,M117,2020-04,7.67,0.0934
North,M120,2020-04,7.56,0.1675
South,M120,2020-04,,0.1838
East,M120,2020-04,6.9,0.1395
West,M120,2020-04,6.76,0.2404
North,M123,2020-04,6.86,0.1556
South,M123,2020-04,6.31,0.1539
East,M123,2020-04,7.25,0.1406
West,M123,2020-04,6.55,0.1046
North,M126,2020-04,8.63,0.0516
South,M126,2020-04,5.57,0.0685
East,M126,2020-04,7.53,0.131
West,M126,2020-04,5.69,0.1956
North,M129,2020-04,8.32,0.056
South,M129,2020-04,6.46,0.2033
East,M129,2020-04,9.02,0.1699
West,M129,2020-04,6.4,0.1688
North,M130,2020-04,7.73,0.1866
South,M130,2020-04,5.82,0.2209
East,M130,2020-04,6.98,0.1122
West,M130,2020-04,5.77,0.1112
North,M134,2020-04,8.03,0.172
South,M134,2020-04,6.45,0.1906
East,M134,2020-04,6.63,0.1161
West,M134,2020-04,5.36,0.0788
North,M136,2020-04,,0.0805
South,M136,2020-04,6.15,0.2018
East,M136,2020-04,9.0,0.211
West,M136,2020-04,5.92,0.1277
North,M138,2020-04,8.31,0.1539
South,M138,2020-04,7.44,0.2473
East,M138,2020-04,7.84,0.2063
West,M138,2020-04,5.81,0.18
North,M139,2020-04,8.71,0.1033
South,M139,2020-04,6.09,0.2307
East,M139,2020-04,7.22,0.1472
West,M139,2020-04,6.09,0.2462
North,M141,2020-04,8.73,0.1529
South,M141,2020-04,6.43,0.2267
East,M141,2020-04,8.42,0.1503
West,M141,2020-04,5.55,0.1159
North,M142,2020-04,7.63,0.2327
South,M142,2020-04,5.39,0.1825
East,M142,2020-04,7.77,0.2082
West,M142,2020-04,5.48,0.1505
North,M148,2020-04,,0.2273
South,M148,2020-04,5.87,0.0764
East,M148,2020-04,7.84,0.1803
West,M148,2020-04,5.72,0.1703
North,M149,2020-04,7.75,0.0948
South,M149,2020-04,6.33,0.0715
East,M149,2020-04,9.24,0.2266
West,M149,2020-04,7.0,0.0623
North,M151,2020-04,3.28,0.152
South,M151,2020-04,5.66,0.07
East,M151,2020-04,3.72,0.1152
West,M151,2020-04,4.24,0.2442
North,M153,2020-04,4.36,0.0543
South,M153,2020-04,6.45,0.0703
East,M153,2020-04,4.12,0.1595
West,M153,2020-04,3.77,0.1026
North,M155,2020-04,3.8,0.0872
South,M155,2020-04,6.54,0.1452
East,M155,2020-04,4.27,0.091
West,M155,2020-04,5.13,0.1884
North,M157,2020-04,3.27,0.0914
South,M157,2020-04,,0.0581
East,M157,2020-04,5.13,0.1731
West,M157,2020-04,3.33,0.0586
North,M158,2020-04,4.39,0.0663
South,M158,2020-04,6.3,0.2177
East,M158,2020-04,5.22,0.1661
West,M158,2020-04,5.2,0.1697
North,M162,2020-04,4.16,0.0538
South,M162,2020-04,5.87,0.1358
East,M162,2020-04,5.41,0.0931
West,M162,2020-04,5.3,0.0887
North,M164,2020-04,3.72,0.1755
South,M164,2020-04,5.9,0.1939
East,M164,2020-04,3.35,0.0654
West,M164,2020-04,4.29,0.2279
North,M166,2020-04,3.56,0.1675
South,M166,2020-04,5.79,0.0902
East,M166,2020-04,4.2,0.1394
West,M166,2020-04,5.22,0.1067
North,M170,2020-04,3.5,0.1064
South,M170,2020-04,6.89,0.135
East,M170,2020-04,4.04,0.0851
West,M170,2020-04,3.74,0.1328
North,M171,2020-04,3.75,0.1337
South,M171,2020-04,5.15,0.1164
East,M171,2020-04,3.34,0.0778
West,M171,2020-04,3.15,0.1758
North,M173,2020-04,4.14,0.1409
South,M173,2020-04,,0.2279
East,M173,2020-04,3.91,0.2184
West,M173,2020-04,4.56,0.1475
North,M175,2020-04,,0.1425
South,M175,2020-04,5.52,0.0856
East,M175,2020-04,4.79,0.1266
West,M175,2020-04,5.13,0.212
North,M176,2020-04,7.4,0.2091
South,M176,2020-04,8.22,0.1893
East,M176,2020-04,5.92,0.1241
West,M176,2020-04,8.13,0.1902
North,M177,2020-04,6.18,0.1337
South,M177,2020-04,6.49,0.1385
East,M177,2020-04,4.83,0.0717
West,M177,2020-04,6.6,0.1043
North,M178,2020-04,5.18,0.2
South,M178,2020-04,7.3,0.1868
East,M178,2020-04,5.87,0.0785
West,M178,2020-04,5.81,0.205
North,M179,2020-04,6.95,0.111
South,M179,2020-04,7.68,0.0697
East,M179,2020-04,6.35,0.1283
West,M179,2020-04,7.4,0.2461
North,M180,2020-04,5.82,0.1131
South,M180,2020-04,8.43,0.1105
East,M180,2020-04,6.34,0.0506
West,M180,2020-04,8.66,0.0739
North,M183,2020-04,7.25,0.1402
South,M183,2020-04,8.28,0.0793
East,M183,2020-04,,0.2433
West,M183,2020-04,7.92,0.2138
North,M184,2020-04,5.89,0.1745
South,M184,2020-04,7.87,0.211
East,M184,2020-04,6.94,0.1755
West,M184,2020-04,7.89,0.1398
North,M185,2020-04,7.18,0.1261
South,M185,2020-04,7.34,0.1389
East,M185,2020-04,5.57,0.1487
West,M185,2020-04,8.61,0.2048
North,M188,2020-04,5.08,0.0638
South,M188,2020-04,6.12,0.1226
East,M188,2020-04,6.26,0.1257
West,M188,2020-04,7.55,0.1935
North,M190,2020-04,4.74,0.249
South,M190,2020-04,6.75,0.0556
East,M190,2020-04,5.8,0.1945
West,M190,2020-04,6.08,0.1935
North,M193,2020-04,6.97,0.224
South,M193,2020-04,9.05,0.1168
East,M193,2020-04,6.12,0.1434
West,M193,2020-04,8.72,0.2481
North,M196,2020-04,,0.1022
South,M196,2020-04,7.24,0.1576
East,M196,2020-04,6.6,0.1805
West,M196,2020-04,8.33,0.1662
North,M198,2020-04,7.11,0.202
South,M198,2020-04,9.04,0.1815
East,M198,2020-04,7.04,0.063
West,M198,2020-04,8.21,0.223
North,M201,2020-04,6.29,0.1713
South,M201,2020-04,6.69,0.2177
East,M201,2020-04,5.98,0.1057
West,M201,2020-04,5.95,0.0634
North,M202,2020-04,5.77,0.0893
South,M202,2020-04,5.11,0.1834
East,M202,2020-04,5.89,0.2188
West,M202,2020-04,6.17,0.1424
North,M204,2020-04,7.29,0.207
South,M204,2020-04,5.81,0.1428
East,M204,2020-04,7.04,0.2262
West,M204,2020-04,5.85,0.1354
North,M205,2020-04,5.72,0.2318
South,M205,2020-04,5.02,0.1482
East,M205,2020-04,4.81,0.1689
West,M205,2020-04,5.19,0.1872
North,M208,2020-04,6.74,0.0799
South,M208,2020-04,5.46,0.2189
East,M208,2020-04,6.7,0.098
West,M208,2020-04,6.61,0.2368
North,M214,2020-04,6.48,0.1961
South,M214,2020-04,6.71,0.1203
East,M214,2020-04,5.25,0.1349
West,M214,2020-04,6.64,0.1945
North,M215,2020-04,6.47,0.1226
South,M215,2020-04,5.88,0.0726
East,M215,2020-04,7.09,0.1399
West,M215,2020-04,7.6,0.1714
North,M216,2020-04,2.32,0.2357
South,M216,2020-04,2.9,0.1809
East,M216,2020-04,2.18,0.1246
West,M216,2020-04,2.78,0.2003
North,M221,2020-04,5.63,0.0572
South,M221,2020-04,5.43,0.1894
East,M221,2020-04,7.06,0.1656
West,M221,2020-04,5.57,0.0724
North,M222,2020-04,5.09,0.1671
South,M222,2020-04,5.29,0.1856
East,M222,2020-04,5.34,0.2029
West,M222,2020-04,5.87,0.1142
North,M102,2020-05,6.94,0.2096
South,M102,2020-05,7.6,0.0964
East,M102,2020-05,6.82,0.1347
West,M102,2020-05,6.5,0.1851
North,M104,2020-05,6.74,0.1007
South,M104,2020-05,6.2,0.1617
East,M104,2020-05,6.0,0.1678
West,M104,2020-05,5.77,0.1404
North,M107,2020-05,7.62,0.0755
South,M107,2020-05,7.64,0.179
East,M107,2020-05,7.5,0.2365
West,M107,2020-05,8.07,0.1054
North,M108,2020-05,6.77,0.1247
South,M108,2020-05,6.85,0.1133
East,M108,2020-05,7.26,0.149
West,M108,2020-05,6.29,0.0658
North,M109,2020-05,7.15,0.0751
South,M109,2020-05,7.15,0.1139
East,M109,2020-05,7.25,0.1891
West,M109,2020-05,6.69,0.1203
North,M114,2020-05,8.28,0.2437
South,M114,2020-05,6.88,0.1531
East,M114,2020-05,8.03,0.1683
West,M114,2020-05,8.28,0.1205
North,M115,2020-05,7.69,0.1013
South,M115,2020-05,7.25,0.1572
East,M115,2020-05,8.63,0.2453
West,M115,2020-05,8.47,0.1149
North,M117,2020-05,7.29,0.0956
South,M117,2020-05,8.34,0.1045
East,M117,2020-05,8.09,0.1934
